custom_edit_url	sidebar_label	learn_status	learn_rel_path	description
empty	Deployment Guides	Unpublished	Deployment Guides	
empty	Standalone Deployment	Unpublished	Deployment Guides	
empty	Deployment with Centralization Points	Unpublished	Deployment Guides	
empty	Netdata Agent	Unpublished	Netdata Agent	
		Unpublished	Netdata Agent	
https://github.com/netdata/netdata/edit/master/packaging/PLATFORM_SUPPORT.md	Netdata Agent Versions & Platforms	Published	Netdata Agent	Present all the supported platform in the Netdata solution
https://github.com/netdata/netdata/edit/master/packaging/installer/README.md	Installation	Published	Netdata Agent/Installation	
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/kickstart.md	One-Line Installer for All Linux Systems	Published	Netdata Agent/Installation	The kickstart.sh script installs Netdata from source, including all dependencies required to connect to Netdata Cloud, with a single command.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/packages.md	Native Linux Distribution packages	Published	Netdata Agent/Installation	Instructions for how to install Netdata using native DEB or RPM packages.
https://github.com/netdata/netdata/edit/master/packaging/makeself/README.md	Static binary Linux Packages	Published	Netdata Agent/Installation	Users can build the static 64-bit binary package that we ship with every release of the open-source Netdata Agent for debugging or specialize purposes.
https://github.com/netdata/netdata/edit/master/packaging/docker/README.md	Docker	Published	Netdata Agent/Installation	
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/kubernetes.md	Kubernetes	Published	Netdata Agent/Installation	Deploy Netdata to monitor a Kubernetes cluster to monitor the health, performance, resource utilization, and application metrics of a Kubernetes cluster in real time.
https://github.com/netdata/helmchart/edit/master/charts/netdata/README.md	Kubernetes Helm chart reference	Published	Netdata Agent/Installation	
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/install-with-a-cicd-provisioning-system.md	Install with a CICD Provisioning System	Published	Netdata Agent/Installation	
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/ansible.md	Ansible	Published	Netdata Agent/Installation	Deploy an infrastructure monitoring solution in minutes with the Netdata Agent and Ansible. Use and customize a simple playbook for monitoring as code.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/macos.md	macOS	Published	Netdata Agent/Installation	
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/freebsd.md	FreeBSD	Published	Netdata Agent/Installation	Install Netdata on FreeBSD to monitor the health and performance of bare metal or VMs with thousands of real-time, per-second metrics.
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/install-netdata-on-embedded-systems.md	Install Netdata on Embedded Systems	Published	Netdata Agent/Installation	
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/synology.md	Synology	Published	Netdata Agent/Installation	The Netdata Agent can be installed on AMD64-compatible NAS systems using the 64-bit pre-compiled static binary.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/manual.md	From a Git checkout	Published	Netdata Agent/Installation	Use the Netdata Agent source code from GitHub, plus helper scripts to set up your system, to install Netdata without packages or binaries.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/offline.md	Offline systems	Published	Netdata Agent/Installation	Install the Netdata Agent on offline/air gapped systems to benefit from real-time, per-second monitoring without connecting to the internet.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/aws.md	AWS	Published	Netdata Agent/Installation	The Netdata Agent runs on all popular cloud providers, but often requires additional steps and configuration for full functionality.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/azure.md	Azure	Published	Netdata Agent/Installation	The Netdata Agent runs on all popular cloud providers, but often requires additional steps and configuration for full functionality.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/gcp.md	GCP	Published	Netdata Agent/Installation	The Netdata Agent runs on all popular cloud providers, but often requires additional steps and configuration for full functionality.
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/pfsense.md	pfSense	Published	Netdata Agent/Installation	Install Netdata on pfSense to monitor the health and performance of firewalls with thousands of real-time, per-second metrics.
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/build-the-netdata-agent-yourself.md	Build the Netdata Agent Yourself	Published	Netdata Agent/Installation/Build the Netdata Agent Yourself	
https://github.com/netdata/netdata/edit/master/packaging/maintainers/README.md	Package Maintainers	Published	Netdata Agent/Installation/Build the Netdata Agent Yourself	
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/source.md	Compile from source code	Published	Netdata Agent/Installation/Build the Netdata Agent Yourself	Package maintainers and power users may be interested in manually building Netdata from source without using any of our installation scripts.
https://github.com/netdata/netdata/edit/master/build_external/README.md	External build-system	Published	Netdata Agent/Installation/Build the Netdata Agent Yourself	
https://github.com/netdata/netdata/edit/master/packaging/building-native-packages-locally.md	How to build native (DEB/RPM) packages locally for testing	Published	Netdata Agent/Installation/Build the Netdata Agent Yourself	Instructions for developers who need to build native packages locally for testing.
https://github.com/netdata/netdata/edit/master/contrib/README.md	Netdata contrib	Published	Netdata Agent/Installation/Build the Netdata Agent Yourself	
	Sizing Netdata Agents	Unpublished	Netdata Agent/Sizing Netdata Agents	
	CPU Requirements	Unpublished	Netdata Agent/Sizing Netdata Agents	
	RAM Requirements	Unpublished	Netdata Agent/Sizing Netdata Agents	
	Bandwidth Requirements	Unpublished	Netdata Agent/Sizing Netdata Agents	
	Disk Requirements & Retention	Unpublished	Netdata Agent/Sizing Netdata Agents	
https://github.com/netdata/netdata/edit/master/docs/configure/nodes.md	Configuration	Published	Netdata Agent	Netdata is zero-configuration for most users, but complex infrastructures may require you to tweak some of the Agent's granular settings.
	Netdata Cloud	Unpublished	Netdata Cloud	
	Netdata Cloud Versions	Unpublished	Netdata Cloud	
https://github.com/netdata/netdata/edit/master/docs/netdata-cloud-onprem/getting-started.md	Netdata Cloud On-Prem	Published	Netdata Cloud/Netdata Cloud On-Prem	
	Netdata Cloud On-Prem Installation	Unpublished	Netdata Cloud/Netdata Cloud On-Prem	
https://github.com/netdata/netdata/edit/master/docs/netdata-cloud-onprem/getting-started-light-poc.md	Netdata Cloud On-Prem PoC withouth K8s	Published	Netdata Cloud/Netdata Cloud On-Prem	
https://github.com/netdata/netdata/edit/master/docs/netdata-cloud-onprem/troubleshooting-onprem.md	Netdata Cloud On-Prem Troubleshooting	Published	Netdata Cloud/Netdata Cloud On-Prem	
	Observability Centralization Points	Unpublished	Observability Centralization Points	
	Best Practices for Observability Centralization Points	Unpublished	Observability Centralization Points	
https://github.com/netdata/netdata/edit/master/docs/category-overview-pages/metrics-streaming-and-replication.md	Metrics Centralization Points (Netdata Parents)	Published	Observability Centralization Points/Metrics Centralization Points (Netdata Parents)	
https://github.com/netdata/netdata/edit/master/src/streaming/README.md	Configuring Metrics Centralization Points	Published	Observability Centralization Points/Metrics Centralization Points (Netdata Parents)	
	Sizing Netdata Parents	Unpublished	Observability Centralization Points/Metrics Centralization Points (Netdata Parents)	
	Optimizing Netdata Children	Unpublished	Observability Centralization Points/Metrics Centralization Points (Netdata Parents)	
	Clustering and High Availability of Netdata Parents	Unpublished	Observability Centralization Points/Metrics Centralization Points (Netdata Parents)	
	Replication of Past Samples	Unpublished	Observability Centralization Points/Metrics Centralization Points (Netdata Parents)	
	FAQ on Metrics Cantralization Points	Unpublished	Observability Centralization Points/Metrics Centralization Points (Netdata Parents)	
	Logs Centralization Points with systemd-journald	Unpublished	Observability Centralization Points/Logs Centralization Points with systemd-journald	
